# Merged GW transfer function
# Convention: T_Omega(k) = Omega_GW,0 / P_T
# h used for convention conversion = 0.675
# Kite used below k = 1.00000000e+08 Mpc^-1
# Saikawa-Shirai used above k = 1.00000000e+08 Mpc^-1
# 
# Columns:
# 1: k [Mpc^-1]
# 2: f [Hz]
# 3: Omega_GW / P_T
2.2300409336918212e-02 3.4482847720021405e-17 3.8293117748291432e-06
2.2354022701813834e-02 3.4565749404448925e-17 3.8255222100631869e-06
2.2407764960885881e-02 3.4648850396350605e-17 3.8217363955275552e-06
2.2461636424014338e-02 3.4732151174890033e-17 3.8180007921762490e-06
2.2515637401824187e-02 3.4815652220382802e-17 3.8143594245158448e-06
2.2569768205687197e-02 3.4899354014299215e-17 3.8107215297615854e-06
2.2624029147723712e-02 3.4983257039267134e-17 3.8070871046012458e-06
2.2678420540804479e-02 3.5067361779074701e-17 3.8034561457257342e-06
2.2732942698552392e-02 3.5151668718673153e-17 3.7998286498291331e-06
2.2787595935344376e-02 3.5236178344179633e-17 3.7962046136086799e-06
2.2842380566313148e-02 3.5320891142879986e-17 3.7925840337647402e-06
2.2897296907349048e-02 3.5405807603231535e-17 3.7889669070008546e-06
2.2952345275101867e-02 3.5490928214865947e-17 3.7853532300236803e-06
2.3007525986982667e-02 3.5576253468592028e-17 3.7817429995430353e-06
2.3062839361165603e-02 3.5661783856398547e-17 3.7781362122718759e-06
2.3118285716589772e-02 3.5747519871457092e-17 3.7745328649262740e-06
2.3173865372961053e-02 3.5833462008124925e-17 3.7709329542254587e-06
2.3229578650753927e-02 3.5919610761947771e-17 3.7673364768917627e-06
2.3285425871213357e-02 3.6005966629662758e-17 3.7637434296506708e-06
2.3341407356356619e-02 3.6092530109201225e-17 3.7601538092307640e-06
2.3397523428975157e-02 3.6179301699691601e-17 3.7565676123637642e-06
2.3453774412636481e-02 3.6266281901462320e-17 3.7529848357845097e-06
2.3510160631685949e-02 3.6353471216044615e-17 3.7494886883858717e-06
2.3566682411248738e-02 3.6440870146175541e-17 3.7460434975749223e-06
2.3623340077231658e-02 3.6528479195800762e-17 3.7426014723528593e-06
2.3680133956325046e-02 3.6616298870077527e-17 3.7391626098110052e-06
2.3737064376004646e-02 3.6704329675377526e-17 3.7357269070433528e-06
2.3794131664533504e-02 3.6792572119289861e-17 3.7322943611465672e-06
2.3851336150963860e-02 3.6881026710623951e-17 3.7288649692199731e-06
2.3908678165139034e-02 3.6969693959412445e-17 3.7254387283655809e-06
2.3966158037695345e-02 3.7058574376914210e-17 3.7220156356880442e-06
2.4023776100063999e-02 3.7147668475617221e-17 3.7185956882946826e-06
