# Figure-8-style primordial GW spectrum
# V_inf^(1/4) = 1.50000000e+16 GeV
# h = 0.675
# P_T = 9.7269832849655301e-11
# 
# Columns:
# 1: f [Hz]
# 2: k [Mpc^-1]
# 3: Omega_GW h^2
1.6747711595780998e-16 1.0830915911440742e-01 1.2000648030712593e-16
1.6909373245144171e-16 1.0935464148992100e-01 1.1989841001317146e-16
1.7072595375694602e-16 1.1041021565643774e-01 1.1979043704053192e-16
1.7237393050383494e-16 1.1147597902759944e-01 1.1968256130156536e-16
1.7403781477561112e-16 1.1255202995735848e-01 1.1957478270870951e-16
1.7571776012380275e-16 1.1363846774905437e-01 1.1946960056410666e-16
1.7741392158213432e-16 1.1473539266457798e-01 1.1936662121651682e-16
1.7912645568083361e-16 1.1584290593362423e-01 1.1926373063415245e-16
1.8085552046107728e-16 1.1696110976303400e-01 1.1916092874050047e-16
1.8260127548957552e-16 1.1809010734622635e-01 1.1905821545911375e-16
1.8436388187329785e-16 1.1923000287272172e-01 1.1895940618551446e-16
1.8614350227434076e-16 1.2038090153775699e-01 1.1886126453334972e-16
1.8794030092493899e-16 1.2154290955199352e-01 1.1876320384816516e-16
1.8975444364262175e-16 1.2271613415131874e-01 1.1866522406316283e-16
1.9158609784551507e-16 1.2390068360674239e-01 1.1856813134373680e-16
1.9343543256779214e-16 1.2509666723438836e-01 1.1847451489428722e-16
1.9530261847527257e-16 1.2630419540558294e-01 1.1838097236047990e-16
1.9718782788117214e-16 1.2752337955704032e-01 1.1828750368395440e-16
1.9909123476200485e-16 1.2875433220114665e-01 1.1819410880639604e-16
2.0101301477363849e-16 1.2999716693634325e-01 1.1810286184520718e-16
2.0295334526750472e-16 1.3125199845760993e-01 1.1801362514295326e-16
2.0491240530696609e-16 1.3251894256704963e-01 1.1792445586657649e-16
2.0689037568384101e-16 1.3379811618457538e-01 1.1783535396513051e-16
2.0888743893508796e-16 1.3508963735870003e-01 1.1774631938770807e-16
2.1090377935965093e-16 1.3639362527743049e-01 1.1766057715151931e-16
2.1293958303546761e-16 1.3771020027926698e-01 1.1757550483183537e-16
2.1499503783664126e-16 1.3903948386430837e-01 1.1749049402213016e-16
